,precision,recall,f1-score,support
African,0.0,0.0,0.0,9.0
East Asian or South East Asian,0.0,0.0,0.0,39.0
Eastern European,0.0,0.0,0.0,31.0
English,0.8,0.8648648648648649,0.8311688311688312,111.0
"Middle Eastern, Central Asian or Southern Europe",0.0,0.0,0.0,32.0
Northern European,0.0,0.0,0.0,9.0
Oceanian or Other,0.2697841726618705,0.8620689655172413,0.410958904109589,87.0
South Asian,0.0,0.0,0.0,21.0
Western European,0.2,0.06741573033707865,0.10084033613445378,89.0
accuracy,0.4135514018691589,0.4135514018691589,0.4135514018691589,0.4135514018691589
macro avg,0.14108713029576336,0.19937217341324276,0.14921867460143046,428.0
weighted avg,0.303904726685941,0.4135514018691589,0.3200653150309367,428.0
